State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Latitude,Longitude
Tripura,Dharmanagar,2023,January,Sunday,9:9,Minor,1,Cycle,9,2,Hazy,National Highway,Wet,Dusk,Signals,79,63,Male,Expired,Yes,Straight Road,24.345603,92.188753
Telangana,Nizamabad,2022,May,Thursday,4:55,Minor,5,Two-Wheeler,7,0,Clear,Village Road,Damaged,Dark,Signs,64,22,Male,Valid,Yes,Bridge,18.669724,78.092689
Sikkim,Namchi,2021,November,Thursday,0:26,Minor,5,Auto-Rickshaw,3,2,Clear,Urban Road,Damaged,Daylight,Police Checkpost,96,57,Female,Valid,Yes,Straight Road,27.142588,88.368332
Haryana,Panipat,2023,July,Friday,17:35,Minor,5,Two-Wheeler,3,1,Rainy,Village Road,Wet,Dawn,Signs,45,29,Male,Expired,No,Intersection,29.396126,76.98836
Gujarat,Vadodara,2021,March,Sunday,19:43,Serious,2,Cycle,6,4,Rainy,National Highway,Under Construction,Daylight,Signals,52,44,Female,Valid,Yes,Straight Road,22.302106,73.16784
Sikkim,Gyalshing,2022,October,Sunday,3:1,Fatal,2,Car,10,4,Stormy,Urban Road,Damaged,Daylight,Police Checkpost,107,46,Female,Expired,No,Intersection,27.265424,88.258726
Nagaland,Dimapur,2018,October,Saturday,14:7,Fatal,5,Truck,10,5,Rainy,Urban Road,Wet,Dark,Police Checkpost,62,25,Male,Valid,Yes,Intersection,25.921797,93.713991
Gujarat,Vadodara,2021,October,Tuesday,2:46,Serious,1,Auto-Rickshaw,5,4,Foggy,Village Road,Damaged,Dark,,33,66,Male,Valid,No,Curve,22.300669,73.168834
Haryana,Panipat,2023,September,Thursday,16:51,Fatal,1,Truck,8,0,Stormy,National Highway,Under Construction,Dawn,Police Checkpost,96,40,Female,Valid,No,Straight Road,29.406602,76.974948
Maharashtra,Nagpur,2023,March,Tuesday,11:29,Fatal,2,Bus,4,3,Stormy,State Highway,Under Construction,Daylight,Signs,30,22,Male,Expired,Yes,Curve,21.160698,79.108027
Sikkim,Mangan,2021,November,Monday,5:22,Serious,2,Pedestrian,9,2,Hazy,National Highway,Wet,Dark,Signs,63,57,Female,Valid,Yes,Bridge,27.518905,88.531079
Madhya Pradesh,Indore,2018,November,Tuesday,7:47,Serious,3,Truck,5,3,Clear,Village Road,Dry,Dark,Signs,109,52,Female,,No,Intersection,22.707772,75.837902
Kerala,Kozhikode,2019,November,Friday,15:44,Minor,3,Cycle,5,0,Hazy,State Highway,Damaged,Dawn,Signals,47,55,Male,Expired,No,Bridge,11.269016,75.800545
West Bengal,Siliguri,2021,April,Friday,4:4,Serious,2,Two-Wheeler,2,2,Clear,Urban Road,Dry,Dark,,36,26,Male,Expired,No,Curve,22.563413,88.384088
Karnataka,Mangalore,2019,September,Thursday,16:40,Minor,5,Pedestrian,8,4,Clear,Village Road,Wet,Dark,Signs,117,37,Male,,Yes,Straight Road,12.989429,77.601986
Nagaland,Dimapur,2019,September,Sunday,10:32,Serious,2,Pedestrian,3,4,Hazy,Village Road,Under Construction,Dawn,Police Checkpost,86,48,Male,Valid,No,Straight Road,25.879803,93.711349
Jammu and Kashmir,Anantnag,2020,December,Sunday,22:39,Serious,3,Bus,0,5,Hazy,National Highway,Under Construction,Dark,,51,34,Male,Expired,Yes,Bridge,33.732332,75.171472
Mizoram,Lunglei,2021,August,Sunday,21:33,Minor,1,Cycle,3,0,Rainy,State Highway,Damaged,Dusk,Signals,86,70,Male,Expired,No,Curve,22.902081,92.712644
Rajasthan,Udaipur,2021,June,Wednesday,8:32,Fatal,4,Two-Wheeler,2,2,Clear,Urban Road,Damaged,Dawn,,105,64,Male,Valid,Yes,Curve,24.562181,73.726836
Haryana,Faridabad,2020,September,Friday,6:33,Minor,4,Auto-Rickshaw,6,1,Clear,Village Road,Wet,Daylight,Signals,56,43,Male,Expired,Yes,Intersection,28.408347,77.323934
West Bengal,Kolkata,2022,January,Wednesday,1:43,Minor,1,Truck,8,5,Foggy,Village Road,Wet,Dusk,Signals,95,41,Female,,No,Bridge,22.584343,88.348488
Assam,Jorhat,2021,October,Saturday,6:52,Fatal,1,Truck,2,5,Hazy,Urban Road,Damaged,Dusk,Signs,37,42,Female,,Yes,Bridge,26.73803,94.196347
Uttar Pradesh,Kanpur,2020,March,Friday,12:31,Minor,5,Cycle,0,2,Foggy,Village Road,Damaged,Dusk,Signals,108,33,Male,Expired,Yes,Straight Road,26.459053,80.341266
Bihar,Patna,2018,April,Thursday,20:43,Minor,5,Auto-Rickshaw,6,5,Clear,State Highway,Wet,Dark,Police Checkpost,55,47,Female,Valid,Yes,Intersection,25.609152,85.11287
Mizoram,Aizawl,2023,October,Saturday,17:58,Minor,3,Car,7,1,Foggy,State Highway,Wet,Dusk,,117,28,Male,,No,Intersection,23.717132,92.734603
Himachal Pradesh,Mandi,2018,November,Sunday,7:5,Minor,3,Truck,7,0,Rainy,State Highway,Wet,Dusk,Signals,109,30,Male,,No,Straight Road,31.708879,76.907297
Tamil Nadu,Madurai,2021,May,Wednesday,21:47,Minor,4,Bus,4,1,Clear,National Highway,Damaged,Dawn,Signals,40,70,Female,Expired,No,Intersection,9.927503,78.095214
Goa,Mapusa,2022,October,Tuesday,20:31,Fatal,5,Truck,6,0,Rainy,State Highway,Under Construction,Daylight,Signals,94,44,Female,,Yes,Intersection,15.613515,73.81865
Goa,Margao,2020,November,Wednesday,17:25,Minor,1,Two-Wheeler,7,3,Stormy,State Highway,Under Construction,Dusk,Police Checkpost,55,36,Female,Valid,No,Intersection,15.295338,74.003665
Puducherry,Puducherry,2023,September,Thursday,5:38,Serious,1,Auto-Rickshaw,6,0,Rainy,State Highway,Damaged,Daylight,Signals,52,33,Male,Expired,Yes,Intersection,11.929917,79.808165
Tamil Nadu,Madurai,2023,December,Monday,1:56,Fatal,1,Bus,3,5,Rainy,State Highway,Damaged,Dusk,Signals,87,28,Female,Expired,No,Intersection,9.925038,78.099066
Tamil Nadu,Madurai,2019,September,Thursday,22:5,Fatal,3,Bus,4,5,Stormy,Village Road,Under Construction,Dusk,Signals,51,54,Female,,Yes,Intersection,9.913616,78.140465
Nagaland,Kohima,2020,June,Wednesday,17:9,Minor,5,Cycle,10,2,Stormy,Urban Road,Dry,Daylight,Police Checkpost,54,58,Female,,No,Intersection,25.677868,94.111503
Punjab,Jalandhar,2019,September,Wednesday,1:43,Serious,2,Two-Wheeler,1,0,Clear,Urban Road,Wet,Daylight,,87,49,Male,Valid,Yes,Straight Road,31.308122,75.59072
Uttarakhand,Haldwani,2022,September,Saturday,21:34,Serious,2,Truck,3,0,Foggy,Village Road,Damaged,Dark,Police Checkpost,71,28,Female,,No,Curve,29.196305,79.507668
Tamil Nadu,Coimbatore,2023,September,Wednesday,0:21,Minor,5,Bus,4,3,Stormy,State Highway,Dry,Dark,Signals,62,55,Female,Valid,No,Intersection,10.999608,76.969668
Sikkim,Gyalshing,2019,June,Sunday,17:0,Serious,5,Car,4,5,Rainy,National Highway,Damaged,Dark,Signals,118,34,Female,,Yes,Bridge,27.272208,88.277195
Punjab,Ludhiana,2021,April,Friday,15:48,Minor,4,Pedestrian,10,0,Rainy,National Highway,Damaged,Dusk,Signs,79,39,Female,Expired,No,Curve,30.919258,75.868188
Assam,Silchar,2018,February,Saturday,20:2,Minor,4,Bus,10,3,Clear,Urban Road,Under Construction,Dawn,Police Checkpost,59,52,Female,,Yes,Bridge,24.844833,92.789096
Punjab,Jalandhar,2019,May,Friday,19:5,Fatal,5,Two-Wheeler,6,5,Stormy,State Highway,Wet,Dawn,Signals,80,66,Female,Valid,Yes,Intersection,31.334366,75.55757
Himachal Pradesh,Shimla,2020,May,Friday,18:56,Minor,5,Car,3,1,Hazy,State Highway,Wet,Dawn,Signals,33,68,Female,Valid,No,Intersection,31.106612,77.16518
Meghalaya,Tura,2023,November,Wednesday,1:34,Minor,5,Truck,8,1,Foggy,Urban Road,Under Construction,Dawn,Signals,81,58,Male,,Yes,Bridge,25.494952,90.200096
Himachal Pradesh,Solan,2021,May,Tuesday,0:37,Minor,2,Car,7,0,Clear,Village Road,Dry,Dark,,64,69,Male,,No,Straight Road,30.927554,77.104568
Jammu and Kashmir,Jammu,2018,May,Saturday,15:16,Serious,5,Two-Wheeler,10,3,Foggy,National Highway,Dry,Daylight,Police Checkpost,83,68,Female,Expired,No,Intersection,32.719391,74.846352
Delhi,Dwarka,2018,November,Wednesday,10:45,Serious,1,Truck,7,3,Stormy,Urban Road,Under Construction,Daylight,Signals,105,67,Female,Valid,Yes,Bridge,28.581185,77.034384
Goa,Mapusa,2023,March,Thursday,13:47,Minor,5,Truck,1,2,Stormy,National Highway,Wet,Dusk,Signals,75,34,Female,,No,Straight Road,15.586949,73.819043
Puducherry,Karaikal,2020,February,Wednesday,18:48,Fatal,1,Car,10,0,Foggy,Urban Road,Wet,Dark,Police Checkpost,106,48,Female,Expired,Yes,Bridge,10.930994,79.830275
Jammu and Kashmir,Srinagar,2019,November,Sunday,0:51,Serious,2,Auto-Rickshaw,8,2,Clear,Village Road,Dry,Dawn,,50,33,Male,Expired,Yes,Straight Road,34.076209,74.807248
Arunachal Pradesh,Pasighat,2021,December,Wednesday,9:40,Fatal,4,Auto-Rickshaw,2,0,Foggy,Village Road,Dry,Dark,,51,63,Female,Expired,No,Intersection,28.043796,95.335984
Karnataka,Mangalore,2019,July,Friday,22:19,Fatal,2,Truck,3,2,Foggy,National Highway,Under Construction,Daylight,Signals,72,28,Female,Valid,Yes,Bridge,12.948751,77.602385
Goa,Panaji,2022,May,Wednesday,6:36,Fatal,4,Bus,0,0,Clear,National Highway,Dry,Dark,Signs,91,29,Female,,No,Straight Road,15.514315,73.803457
Delhi,New Delhi,2023,March,Tuesday,22:57,Minor,2,Bus,7,1,Rainy,State Highway,Damaged,Dark,,65,65,Male,Valid,Yes,Bridge,28.632441,77.194133
Chhattisgarh,Raipur,2022,October,Friday,0:30,Serious,5,Cycle,7,5,Foggy,National Highway,Under Construction,Dawn,Police Checkpost,55,63,Male,Expired,No,Curve,21.252853,81.627597
Haryana,Gurugram,2019,December,Sunday,23:51,Minor,2,Auto-Rickshaw,0,2,Rainy,Village Road,Dry,Dawn,Police Checkpost,53,25,Female,Valid,No,Curve,28.46177,77.017098
Haryana,Gurugram,2019,January,Friday,15:2,Minor,3,Two-Wheeler,2,1,Foggy,Village Road,Under Construction,Daylight,Signals,40,54,Male,Valid,Yes,Straight Road,28.436489,77.049642
Assam,Silchar,2023,February,Saturday,19:28,Minor,4,Car,5,4,Rainy,National Highway,Damaged,Dusk,,115,32,Female,Valid,No,Intersection,24.815299,92.801097
Madhya Pradesh,Indore,2023,June,Friday,15:24,Minor,2,Pedestrian,10,2,Clear,National Highway,Under Construction,Dawn,Signals,110,28,Female,,No,Straight Road,22.739303,75.864197
Meghalaya,Tura,2022,August,Thursday,11:47,Minor,4,Cycle,7,0,Stormy,National Highway,Damaged,Dark,,107,45,Female,Expired,Yes,Straight Road,25.528692,90.212357
Chandigarh,Chandigarh,2022,March,Thursday,16:43,Fatal,2,Auto-Rickshaw,8,5,Clear,National Highway,Damaged,Dusk,Signs,95,64,Male,Expired,No,Straight Road,30.757391,76.799883
Rajasthan,Udaipur,2020,May,Monday,22:59,Fatal,1,Pedestrian,1,1,Clear,National Highway,Dry,Daylight,Signals,111,55,Female,Valid,Yes,Straight Road,24.6024,73.701919
Punjab,Patiala,2021,February,Wednesday,11:35,Fatal,4,Auto-Rickshaw,6,0,Rainy,State Highway,Damaged,Dark,,79,52,Female,Valid,No,Curve,30.356644,76.403179
Assam,Dibrugarh,2020,October,Monday,4:48,Minor,4,Cycle,9,1,Hazy,Village Road,Under Construction,Daylight,Police Checkpost,113,47,Female,Valid,Yes,Bridge,27.451559,94.911675
Telangana,Karimnagar,2022,June,Friday,17:52,Fatal,4,Pedestrian,1,5,Hazy,National Highway,Damaged,Daylight,,101,30,Male,Valid,Yes,Bridge,18.423286,79.145704
Uttarakhand,Haridwar,2022,November,Wednesday,15:48,Serious,1,Cycle,7,0,Clear,State Highway,Damaged,Daylight,Signals,90,31,Male,,Yes,Curve,29.936346,78.142998
Karnataka,Bangalore,2021,March,Wednesday,3:38,Minor,3,Car,7,4,Rainy,Village Road,Damaged,Dusk,Police Checkpost,86,48,Male,Expired,Yes,Bridge,12.990334,77.604051
Delhi,New Delhi,2018,November,Wednesday,9:22,Fatal,4,Cycle,9,4,Stormy,Village Road,Dry,Dawn,Signals,79,58,Male,Valid,Yes,Curve,28.614489,77.214899
Maharashtra,Pune,2018,November,Tuesday,0:40,Fatal,4,Auto-Rickshaw,4,0,Hazy,Village Road,Wet,Dusk,Police Checkpost,113,55,Female,Valid,Yes,Intersection,18.511608,73.869105
Uttarakhand,Roorkee,2018,October,Wednesday,23:54,Serious,5,Auto-Rickshaw,3,2,Rainy,Village Road,Dry,Daylight,Signals,62,51,Female,Expired,No,Straight Road,29.849889,77.911312
Himachal Pradesh,Mandi,2023,October,Sunday,7:45,Minor,2,Auto-Rickshaw,6,3,Clear,State Highway,Wet,Dawn,Signals,39,23,Male,Valid,No,Intersection,31.687145,76.92543
Odisha,Rourkela,2019,September,Sunday,20:20,Serious,5,Two-Wheeler,10,3,Stormy,Urban Road,Dry,Dawn,Signals,95,60,Male,,Yes,Intersection,22.263432,84.837674
Tamil Nadu,Coimbatore,2021,September,Tuesday,4:20,Fatal,4,Bus,6,0,Hazy,Village Road,Wet,Dusk,,72,46,Female,,Yes,Intersection,10.995588,76.97275
Haryana,Faridabad,2019,August,Monday,14:16,Minor,4,Bus,5,4,Hazy,State Highway,Dry,Daylight,Signs,69,36,Male,,Yes,Straight Road,28.411552,77.332707
Kerala,Thiruvananthapuram,2021,February,Sunday,5:8,Fatal,1,Bus,4,0,Rainy,Village Road,Under Construction,Dawn,Signs,43,42,Female,Expired,No,Straight Road,8.53583,76.938203
Odisha,Rourkela,2022,June,Tuesday,22:37,Fatal,1,Truck,9,4,Rainy,Urban Road,Wet,Daylight,Police Checkpost,111,30,Female,Valid,No,Intersection,22.239507,84.841834
Goa,Mapusa,2023,March,Thursday,14:5,Fatal,1,Car,7,5,Clear,National Highway,Under Construction,Daylight,,100,67,Male,,Yes,Straight Road,15.586303,73.787252
Assam,Dibrugarh,2022,August,Wednesday,15:59,Fatal,5,Bus,4,0,Hazy,Urban Road,Under Construction,Daylight,Signals,35,50,Male,,No,Bridge,27.476923,94.920286
Nagaland,Mokokchung,2021,September,Sunday,2:15,Fatal,2,Truck,8,0,Rainy,Urban Road,Dry,Dark,Signals,78,60,Male,Valid,Yes,Straight Road,26.333686,94.501109
Arunachal Pradesh,Itanagar,2021,January,Thursday,14:23,Fatal,1,Truck,7,4,Rainy,State Highway,Dry,Dawn,Signs,114,69,Female,,No,Curve,27.079957,93.598207
Rajasthan,Udaipur,2022,June,Wednesday,2:29,Minor,3,Bus,2,5,Stormy,State Highway,Dry,Daylight,Signals,78,65,Male,,Yes,Straight Road,24.576645,73.712365
Chandigarh,Chandigarh,2018,March,Wednesday,20:2,Serious,2,Two-Wheeler,1,3,Clear,National Highway,Wet,Dusk,,92,21,Male,Expired,Yes,Straight Road,30.751272,76.7649
Himachal Pradesh,Dharamshala,2021,August,Monday,21:34,Serious,4,Bus,5,1,Stormy,State Highway,Damaged,Dark,Police Checkpost,91,69,Female,Expired,Yes,Curve,32.213941,76.303873
Goa,Vasco da Gama,2023,October,Wednesday,19:24,Minor,1,Auto-Rickshaw,0,1,Stormy,State Highway,Under Construction,Dark,Police Checkpost,75,50,Female,Valid,Yes,Bridge,15.405672,73.810979
Tripura,Agartala,2020,February,Friday,11:9,Fatal,2,Bus,3,2,Stormy,Village Road,Wet,Dusk,Signs,105,65,Male,Valid,No,Curve,23.826233,91.279252
Chandigarh,Chandigarh,2021,June,Wednesday,17:17,Minor,4,Truck,1,5,Rainy,National Highway,Damaged,Dark,Signs,93,67,Male,Valid,No,Curve,30.755933,76.762734
Madhya Pradesh,Indore,2021,February,Friday,22:52,Fatal,1,Bus,2,5,Rainy,Urban Road,Dry,Dark,Signs,93,18,Male,,No,Straight Road,22.718138,75.847506
Meghalaya,Jowai,2021,April,Thursday,13:59,Minor,5,Pedestrian,5,3,Foggy,Urban Road,Dry,Daylight,,113,56,Male,,Yes,Curve,25.444273,92.187276
Puducherry,Puducherry,2019,August,Friday,21:34,Serious,2,Car,9,1,Rainy,National Highway,Under Construction,Dawn,Police Checkpost,35,35,Female,Valid,No,Curve,11.956299,79.796769
Jharkhand,Ranchi,2023,November,Monday,19:39,Fatal,5,Car,2,5,Foggy,Urban Road,Under Construction,Dark,Police Checkpost,90,35,Male,Valid,Yes,Intersection,23.334426,85.315718
Chandigarh,Chandigarh,2021,February,Wednesday,2:28,Minor,2,Auto-Rickshaw,2,4,Rainy,State Highway,Damaged,Daylight,Police Checkpost,100,56,Female,,Yes,Curve,30.7198,76.769
Tamil Nadu,Madurai,2022,September,Wednesday,15:18,Minor,3,Truck,0,5,Rainy,State Highway,Wet,Dark,Police Checkpost,110,52,Male,Valid,No,Bridge,9.907547,78.11789
Telangana,Nizamabad,2018,March,Thursday,2:18,Fatal,1,Truck,5,5,Foggy,Urban Road,Under Construction,Daylight,,39,60,Male,,No,Bridge,18.658759,78.103288
Jharkhand,Bokaro,2020,April,Wednesday,9:34,Fatal,2,Car,10,3,Clear,State Highway,Dry,Dawn,Signs,95,63,Male,Valid,Yes,Curve,23.664528,86.171339
West Bengal,Siliguri,2022,March,Wednesday,22:37,Serious,3,Cycle,4,5,Foggy,State Highway,Wet,Dark,Signs,39,28,Female,,Yes,Bridge,22.567377,88.375228
Uttar Pradesh,Lucknow,2020,May,Saturday,0:39,Fatal,1,Auto-Rickshaw,4,5,Foggy,National Highway,Damaged,Dark,,79,67,Female,Valid,Yes,Straight Road,26.862218,80.931864
Nagaland,Kohima,2022,September,Tuesday,6:45,Minor,3,Truck,4,3,Hazy,National Highway,Damaged,Dark,Signals,94,35,Male,,No,Curve,25.660262,94.084145
Jammu and Kashmir,Baramulla,2023,December,Wednesday,3:51,Fatal,2,Cycle,9,0,Stormy,National Highway,Under Construction,Dawn,,95,56,Female,Expired,No,Bridge,34.226041,74.323357
Maharashtra,Mumbai,2023,April,Sunday,8:15,Fatal,5,Two-Wheeler,8,5,Stormy,Village Road,Damaged,Dark,Signals,105,20,Female,Expired,Yes,Curve,19.063149,72.869406
Mizoram,Champhai,2019,January,Sunday,16:11,Serious,5,Auto-Rickshaw,5,0,Stormy,State Highway,Damaged,Dark,,88,26,Male,Valid,Yes,Bridge,23.484565,93.314414
Uttarakhand,Dehradun,2020,June,Sunday,3:49,Minor,2,Pedestrian,4,1,Stormy,Village Road,Wet,Daylight,Signals,38,53,Female,,No,Curve,30.340266,78.051354
Sikkim,Gangtok,2019,May,Sunday,21:7,Minor,3,Pedestrian,9,2,Hazy,Urban Road,Dry,Dusk,Police Checkpost,30,33,Female,Valid,No,Curve,27.339802,88.60439
Goa,Margao,2020,February,Monday,9:39,Serious,2,Auto-Rickshaw,9,4,Foggy,Urban Road,Under Construction,Dark,Signals,117,39,Male,Valid,Yes,Curve,15.260815,73.972297
Nagaland,Mokokchung,2021,January,Monday,2:53,Minor,5,Cycle,5,3,Clear,State Highway,Wet,Daylight,Signals,115,19,Male,Expired,Yes,Intersection,26.309512,94.537704
Karnataka,Mysore,2022,June,Friday,21:24,Minor,5,Cycle,7,0,Stormy,National Highway,Damaged,Dusk,Signals,53,21,Male,Expired,Yes,Straight Road,12.97952,77.617089
Himachal Pradesh,Mandi,2020,May,Monday,8:26,Minor,1,Bus,4,2,Hazy,State Highway,Damaged,Dusk,Signals,88,45,Male,Valid,No,Straight Road,31.720363,76.92921
Telangana,Hyderabad,2018,February,Monday,20:53,Fatal,3,Car,7,3,Stormy,State Highway,Under Construction,Daylight,Signs,63,43,Female,Expired,No,Straight Road,17.373451,78.509964
Kerala,Thiruvananthapuram,2022,March,Wednesday,9:37,Fatal,4,Bus,5,1,Rainy,National Highway,Damaged,Dawn,Signs,46,38,Female,Expired,Yes,Intersection,8.539065,76.923643
Haryana,Gurugram,2021,October,Wednesday,7:58,Fatal,5,Truck,1,5,Clear,State Highway,Under Construction,Dusk,Signals,95,62,Male,,Yes,Intersection,28.438401,77.014978
Delhi,Rohini,2020,November,Monday,22:58,Serious,5,Two-Wheeler,6,4,Foggy,State Highway,Dry,Dark,Police Checkpost,105,61,Male,,No,Intersection,28.726545,77.079436
Himachal Pradesh,Dharamshala,2019,February,Tuesday,4:1,Minor,3,Truck,2,0,Rainy,National Highway,Wet,Dawn,Police Checkpost,79,34,Male,Valid,No,Bridge,32.220694,76.333938
Arunachal Pradesh,Itanagar,2021,September,Sunday,11:21,Fatal,3,Pedestrian,0,1,Clear,State Highway,Wet,Dark,Police Checkpost,112,32,Male,Valid,No,Bridge,27.096381,93.625324
Assam,Jorhat,2022,May,Sunday,2:28,Serious,5,Bus,1,5,Foggy,State Highway,Wet,Dark,Signals,90,45,Male,,Yes,Straight Road,26.767689,94.184402
Kerala,Kozhikode,2023,March,Monday,2:43,Fatal,1,Bus,8,1,Clear,National Highway,Damaged,Daylight,Signals,105,38,Male,Valid,Yes,Bridge,11.244728,75.774025
Punjab,Jalandhar,2020,September,Friday,11:11,Minor,4,Two-Wheeler,7,5,Foggy,National Highway,Under Construction,Dark,,52,70,Female,Valid,No,Bridge,31.316891,75.578579
Jharkhand,Dhanbad,2021,February,Friday,6:55,Minor,4,Pedestrian,3,0,Hazy,National Highway,Dry,Dawn,Signals,63,47,Male,Expired,No,Bridge,23.777689,86.406874
Punjab,Amritsar,2018,July,Thursday,5:6,Minor,5,Truck,1,2,Clear,Urban Road,Wet,Dark,Signs,120,24,Female,,Yes,Bridge,31.646743,74.886518
Jharkhand,Bokaro,2020,September,Monday,0:7,Fatal,3,Truck,2,2,Stormy,State Highway,Under Construction,Dark,Signals,108,61,Male,,No,Bridge,23.670722,86.175456
Gujarat,Vadodara,2018,March,Friday,13:47,Serious,5,Two-Wheeler,3,2,Stormy,Village Road,Dry,Dark,,45,46,Female,Expired,No,Curve,22.297119,73.197311
Goa,Panaji,2018,May,Wednesday,13:46,Serious,2,Bus,4,0,Rainy,Village Road,Under Construction,Dusk,,99,68,Male,Expired,No,Intersection,15.494801,73.804038
Uttar Pradesh,Lucknow,2022,December,Thursday,8:30,Serious,2,Truck,0,0,Stormy,Village Road,Dry,Dawn,,115,43,Male,Valid,Yes,Bridge,26.842447,80.926587
Sikkim,Namchi,2018,December,Friday,11:49,Fatal,4,Truck,7,5,Foggy,Urban Road,Under Construction,Daylight,Signals,117,60,Female,Expired,No,Straight Road,27.176878,88.381645
Maharashtra,Pune,2020,October,Thursday,20:1,Fatal,2,Auto-Rickshaw,8,5,Rainy,Urban Road,Under Construction,Dawn,Police Checkpost,45,53,Male,Expired,No,Intersection,18.537431,73.861394
Mizoram,Lunglei,2021,September,Saturday,21:8,Serious,3,Two-Wheeler,2,1,Foggy,Village Road,Dry,Dark,Signs,111,25,Male,,No,Curve,22.88215,92.75624
Odisha,Cuttack,2018,October,Monday,16:24,Fatal,2,Auto-Rickshaw,0,0,Rainy,State Highway,Under Construction,Dusk,Signs,82,62,Male,Valid,Yes,Intersection,20.469392,85.872784
Uttarakhand,Haridwar,2018,March,Tuesday,21:54,Minor,4,Cycle,10,3,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,109,65,Female,,No,Intersection,29.926354,78.160224
Madhya Pradesh,Gwalior,2022,November,Sunday,16:53,Minor,2,Two-Wheeler,7,4,Stormy,State Highway,Wet,Dawn,,100,33,Male,Expired,No,Straight Road,26.206834,78.198178
Chhattisgarh,Bhilai,2021,October,Sunday,18:38,Serious,1,Car,6,0,Foggy,Village Road,Under Construction,Dawn,Signs,105,18,Female,Valid,No,Curve,21.197138,81.395291
Meghalaya,Shillong,2023,February,Saturday,1:24,Fatal,4,Bus,7,4,Clear,Urban Road,Dry,Dark,Signs,74,31,Male,,Yes,Bridge,25.603135,91.879252
Goa,Vasco da Gama,2020,April,Wednesday,20:41,Fatal,5,Truck,7,0,Foggy,National Highway,Dry,Dawn,Police Checkpost,62,47,Female,Expired,Yes,Bridge,15.392503,73.790557
Puducherry,Puducherry,2023,April,Sunday,1:25,Fatal,5,Cycle,5,3,Rainy,Village Road,Dry,Dark,Signs,79,47,Male,,Yes,Intersection,11.955182,79.822208
Tamil Nadu,Chennai,2022,November,Tuesday,4:4,Serious,1,Truck,0,0,Foggy,State Highway,Dry,Dawn,Police Checkpost,38,22,Male,Expired,Yes,Bridge,13.075016,80.252451
Punjab,Amritsar,2022,May,Friday,21:28,Fatal,1,Bus,9,1,Foggy,Village Road,Wet,Dawn,Signs,110,67,Male,,No,Bridge,31.633468,74.886081
Telangana,Nizamabad,2018,September,Tuesday,15:13,Serious,2,Car,6,0,Foggy,Urban Road,Dry,Dark,Signals,119,31,Male,,Yes,Straight Road,18.674357,78.115539
Maharashtra,Nagpur,2020,January,Monday,15:32,Fatal,2,Car,4,1,Stormy,Urban Road,Wet,Dawn,,65,67,Female,,No,Straight Road,21.141175,79.071008
Uttarakhand,Haldwani,2020,January,Friday,5:14,Minor,1,Pedestrian,10,1,Hazy,Village Road,Dry,Daylight,,95,19,Female,,No,Intersection,29.219974,79.50163
Punjab,Amritsar,2021,August,Monday,7:16,Serious,4,Bus,8,0,Foggy,State Highway,Under Construction,Dawn,Signs,73,33,Male,,Yes,Straight Road,31.613033,74.895493
Telangana,Hyderabad,2018,September,Sunday,2:51,Minor,2,Cycle,9,5,Rainy,Urban Road,Wet,Dusk,Signals,111,67,Male,,Yes,Bridge,17.397426,78.511121
Gujarat,Ahmedabad,2019,January,Monday,22:17,Minor,3,Truck,7,5,Stormy,National Highway,Damaged,Dawn,,104,23,Male,Expired,Yes,Bridge,23.024946,72.561218
Andhra Pradesh,Tirupati,2018,May,Wednesday,2:35,Fatal,5,Auto-Rickshaw,0,2,Stormy,Urban Road,Under Construction,Dawn,Signs,101,66,Female,Valid,No,Straight Road,13.618002,79.396592
West Bengal,Siliguri,2021,April,Thursday,22:58,Serious,2,Pedestrian,6,2,Rainy,National Highway,Under Construction,Dark,Signs,94,48,Female,Expired,No,Bridge,22.553214,88.370221
Kerala,Thiruvananthapuram,2023,June,Monday,7:25,Fatal,1,Car,10,2,Clear,State Highway,Wet,Dawn,,117,42,Female,Expired,Yes,Straight Road,8.535496,76.95056
Uttarakhand,Haldwani,2021,August,Monday,13:32,Fatal,3,Truck,7,1,Hazy,Village Road,Wet,Dusk,Signs,104,24,Female,Valid,No,Intersection,29.235613,79.517515
Maharashtra,Mumbai,2018,February,Thursday,4:9,Minor,1,Pedestrian,8,0,Hazy,National Highway,Wet,Dark,,62,49,Female,,Yes,Straight Road,19.085562,72.892958
Karnataka,Bangalore,2019,July,Tuesday,5:40,Minor,5,Truck,5,0,Clear,Village Road,Damaged,Dark,Signs,52,36,Male,Expired,Yes,Straight Road,12.966079,77.609553
Odisha,Bhubaneswar,2019,February,Sunday,7:43,Serious,3,Two-Wheeler,7,1,Foggy,State Highway,Under Construction,Dawn,Signs,85,29,Male,Expired,Yes,Intersection,20.306998,85.825335
Rajasthan,Jodhpur,2021,January,Tuesday,16:38,Fatal,3,Truck,2,4,Hazy,Urban Road,Wet,Daylight,Signs,61,58,Female,Valid,No,Curve,26.233509,73.031871
