State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Latitude,Longitude,Rainfall_mm,Max_temp_celsius,Min_temp_celsius
Himachal Pradesh,Mandi,2020,June,Tuesday,15:19,Fatal,1,Truck,8,4,Rainy,National Highway,Wet,Daylight,Signals,94,61,Female,Valid,Yes,Straight Road,31.705148,76.916637,2.1930039806647983,25.83045349121096,13.612771606445335
Himachal Pradesh,Shimla,2022,September,Saturday,6:44,Fatal,3,Two-Wheeler,4,4,Stormy,National Highway,Dry,Dark,Signs,69,45,Male,,No,Bridge,31.121475,77.1704,168.82189754397814,23.027307128906273,15.33667907714846
Chhattisgarh,Korba,2019,August,Sunday,0:28,Serious,2,Auto-Rickshaw,8,2,Clear,Village Road,Damaged,Dusk,,36,24,Male,Expired,Yes,Straight Road,22.380007,82.750352,106.20588809251785,29.56379089355471,23.881250000000023
Puducherry,Karaikal,2018,July,Friday,22:2,Serious,3,Pedestrian,2,4,Stormy,National Highway,Dry,Daylight,Signs,117,52,Female,Expired,No,Bridge,10.937085,79.831122,-9999.0,-9999.0,-9999.0
Gujarat,Surat,2022,August,Sunday,7:11,Minor,1,Auto-Rickshaw,10,0,Clear,Urban Road,Dry,Dark,Signals,120,46,Male,Expired,Yes,Bridge,21.164311,72.825375,220.29836987958262,27.22120056152346,25.188821411132835
Chandigarh,Chandigarh,2023,September,Tuesday,8:59,Serious,5,Two-Wheeler,1,4,Rainy,Village Road,Damaged,Dark,,115,44,Male,Valid,Yes,Intersection,30.750865,76.773332,253.34370657791183,29.49640808105471,24.139382934570335
Haryana,Ambala,2018,May,Tuesday,1:43,Fatal,4,Bus,2,1,Rainy,Village Road,Under Construction,Dark,Signs,66,36,Female,,Yes,Bridge,30.401985,76.758217,1.889057457447052,36.78484497070315,23.816217041015648
Karnataka,Bangalore,2019,October,Saturday,22:5,Minor,4,Cycle,0,5,Rainy,State Highway,Under Construction,Dusk,Signals,90,69,Male,Valid,No,Intersection,12.963127,77.584337,77.40072504935824,26.543695068359398,19.776361083984398
Jammu and Kashmir,Srinagar,2020,March,Friday,20:15,Fatal,5,Two-Wheeler,7,3,Foggy,State Highway,Under Construction,Dark,,49,47,Female,,No,Bridge,34.065957,74.788017,1.2129157781259892,10.51081237792971,-0.34529724121091476
Rajasthan,Jaipur,2019,April,Saturday,6:58,Serious,5,Pedestrian,9,0,Foggy,National Highway,Dry,Dark,Signals,101,18,Female,Valid,Yes,Bridge,26.916827,75.766633,7.67603069539291,38.1894470214844,22.62946472167971
West Bengal,Siliguri,2021,June,Saturday,11:9,Serious,2,Cycle,4,4,Foggy,State Highway,Dry,Dawn,Signs,89,31,Male,Expired,Yes,Straight Road,22.579097,88.38326,405.8793084415697,29.166055297851585,26.11414489746096
Punjab,Jalandhar,2021,April,Tuesday,17:24,Minor,4,Two-Wheeler,2,0,Rainy,State Highway,Damaged,Dawn,Signs,45,36,Male,,Yes,Intersection,31.33023,75.569928,3.5114698223210894,36.38033447265627,19.848367309570335
Maharashtra,Nagpur,2022,July,Monday,22:51,Serious,2,Truck,10,2,Clear,State Highway,Under Construction,Dawn,Police Checkpost,90,39,Female,Expired,Yes,Bridge,21.163389,79.084606,549.3607943960405,26.203302001953148,24.213525390625023
Sikkim,Gyalshing,2022,June,Wednesday,21:7,Serious,5,Pedestrian,1,0,Rainy,National Highway,Dry,Dusk,Signals,61,64,Male,,No,Intersection,27.277832,88.276035,990.123896673083,19.664544677734398,16.602655029296898
Jharkhand,Dhanbad,2023,March,Tuesday,2:32,Minor,4,Bus,6,4,Foggy,Urban Road,Wet,Dark,Signs,47,20,Male,Valid,No,Curve,23.818683,86.423616,0.45971401578981386,34.19642028808596,18.420205688476585
Puducherry,Karaikal,2020,October,Monday,19:12,Fatal,1,Auto-Rickshaw,8,0,Foggy,Village Road,Under Construction,Dusk,Signals,116,52,Male,Expired,No,Bridge,10.902485,79.858497,-9999.0,-9999.0,-9999.0
Tamil Nadu,Coimbatore,2023,April,Monday,16:9,Minor,4,Truck,5,2,Stormy,Urban Road,Dry,Daylight,,47,27,Male,,No,Curve,11.020224,76.945485,0.01158803308953793,37.08498535156252,22.842691040039085
Madhya Pradesh,Bhopal,2020,November,Monday,17:37,Minor,4,Pedestrian,9,4,Rainy,State Highway,Dry,Dark,,43,56,Female,,No,Intersection,23.242372,77.437531,0.01896333651529858,30.390130615234398,20.629815673828148
Odisha,Rourkela,2022,April,Thursday,14:30,Minor,2,Auto-Rickshaw,6,3,Rainy,Urban Road,Wet,Daylight,,65,37,Male,,No,Straight Road,22.2511,84.873998,1.124241764753009,40.37000427246096,26.581338500976585
Kerala,Thiruvananthapuram,2020,August,Saturday,11:48,Minor,1,Cycle,7,1,Hazy,National Highway,Under Construction,Dawn,Signals,82,41,Male,Valid,No,Intersection,8.529363,76.949533,16.981915756957733,28.06086120605471,23.928155517578148
Chandigarh,Chandigarh,2018,July,Saturday,7:37,Fatal,1,Car,1,3,Hazy,Village Road,Dry,Daylight,Signs,47,59,Female,,No,Bridge,30.742288,76.787204,22.179112865487127,34.04061279296877,26.208978271484398
Sikkim,Mangan,2023,June,Saturday,3:44,Fatal,3,Bus,7,1,Hazy,Urban Road,Dry,Dusk,Police Checkpost,95,18,Male,Valid,Yes,Curve,27.522862,88.519335,403.9971602754697,13.11792907714846,10.201989746093773
Uttar Pradesh,Kanpur,2021,November,Wednesday,17:17,Minor,3,Truck,7,3,Hazy,Village Road,Under Construction,Daylight,Signals,64,46,Female,Valid,No,Curve,26.455232,80.335196,0.0038951628198446997,24.899102783203148,13.266763305664085
Sikkim,Namchi,2023,November,Saturday,2:58,Serious,3,Auto-Rickshaw,6,3,Rainy,Urban Road,Damaged,Dark,Signals,47,68,Male,Valid,Yes,Curve,27.162859,88.366434,5.46510368583597,20.274133300781273,13.735574340820335
Uttarakhand,Haridwar,2023,October,Sunday,8:21,Serious,4,Pedestrian,2,2,Stormy,Urban Road,Under Construction,Dawn,Signs,77,41,Male,,No,Curve,29.927588,78.167078,5.888181924149194,30.177880859375023,16.621087646484398
Chhattisgarh,Raipur,2020,December,Monday,13:0,Minor,3,Pedestrian,1,4,Rainy,Urban Road,Wet,Dusk,Police Checkpost,35,55,Female,Valid,No,Intersection,21.266063,81.639277,0.3873735665251843,27.336892700195335,19.03547058105471
Karnataka,Bangalore,2019,November,Saturday,12:3,Fatal,2,Cycle,9,1,Foggy,Village Road,Damaged,Dark,Police Checkpost,54,29,Male,Valid,No,Bridge,12.980301,77.619429,33.420541137274995,26.257852172851585,19.184732055664085
Telangana,Karimnagar,2020,March,Sunday,14:33,Fatal,2,Pedestrian,0,5,Stormy,Village Road,Wet,Daylight,Police Checkpost,64,62,Female,Valid,No,Curve,18.45734,79.104087,0.11230111118720743,32.260110473632835,22.926660156250023
Chhattisgarh,Korba,2018,August,Thursday,23:21,Serious,4,Bus,9,2,Rainy,State Highway,Under Construction,Dark,Signs,56,39,Female,,Yes,Intersection,22.341804,82.739813,185.57198000235076,30.286035156250023,24.858865356445335
Himachal Pradesh,Dharamshala,2021,June,Saturday,10:30,Minor,1,Pedestrian,3,1,Rainy,Urban Road,Damaged,Dusk,Police Checkpost,96,32,Male,,No,Bridge,32.199071,76.34562,8.295300388624582,23.065911865234398,16.067590332031273
Odisha,Rourkela,2020,August,Wednesday,1:10,Minor,2,Pedestrian,7,1,Foggy,Village Road,Dry,Daylight,Signals,38,53,Male,Expired,No,Bridge,22.283537,84.833885,256.0037013142278,30.506158447265648,25.14795837402346
Arunachal Pradesh,Itanagar,2018,November,Saturday,13:10,Fatal,5,Car,0,4,Stormy,National Highway,Under Construction,Dusk,,120,47,Female,,No,Straight Road,27.09792,93.58336,186.21964704891525,19.047448730468773,15.458245849609398
Delhi,New Delhi,2022,December,Friday,0:0,Minor,3,Bus,2,1,Stormy,Village Road,Under Construction,Daylight,,34,55,Male,Valid,Yes,Bridge,28.593671,77.19783,0.001289029341933201,22.559136962890648,8.921716308593773
Jammu and Kashmir,Anantnag,2022,February,Friday,17:21,Minor,1,Car,2,1,Hazy,State Highway,Under Construction,Dawn,Police Checkpost,53,22,Female,Valid,No,Intersection,33.744113,75.12952,0.26084334029974343,6.202798461914085,-4.45793762207029
Kerala,Kozhikode,2023,October,Tuesday,0:15,Fatal,4,Auto-Rickshaw,0,5,Clear,Urban Road,Dry,Daylight,Police Checkpost,37,33,Male,,No,Bridge,11.271132,75.774743,81.80747479133288,27.501153564453148,24.244790649414085
Himachal Pradesh,Mandi,2021,December,Tuesday,16:22,Serious,5,Cycle,3,3,Foggy,Urban Road,Damaged,Daylight,Signals,42,26,Female,,Yes,Intersection,31.698656,76.930822,19.862079620295958,12.850930786132835,-2.9669708251952898
Tamil Nadu,Chennai,2022,June,Sunday,16:48,Fatal,4,Cycle,3,5,Hazy,State Highway,Dry,Daylight,Signals,53,28,Male,,Yes,Curve,13.062187,80.295668,-9999.0,-9999.0,-9999.0
Arunachal Pradesh,Itanagar,2020,November,Sunday,3:28,Serious,3,Truck,0,5,Hazy,Urban Road,Damaged,Dusk,Signs,35,58,Female,Valid,Yes,Bridge,27.062187,93.621931,0.12681794123636791,25.75403747558596,15.34290466308596
Maharashtra,Nagpur,2022,December,Sunday,22:36,Serious,5,Two-Wheeler,1,3,Foggy,State Highway,Wet,Dawn,,68,33,Male,Expired,No,Intersection,21.167582,79.079193,0.005699773055312107,29.978234863281273,20.500894165039085
Goa,Margao,2021,May,Wednesday,21:33,Minor,5,Auto-Rickshaw,10,5,Clear,Urban Road,Wet,Dawn,Police Checkpost,110,54,Male,Expired,No,Straight Road,15.293731,73.967507,169.64631493658544,33.360269165039085,25.218240356445335
Delhi,New Delhi,2018,February,Wednesday,16:37,Fatal,4,Truck,10,5,Stormy,National Highway,Damaged,Daylight,Signs,113,49,Female,Valid,No,Curve,28.603754,77.217698,0.018526394853779493,23.033441162109398,11.181176757812523
Telangana,Warangal,2020,October,Thursday,23:44,Minor,5,Cycle,3,3,Foggy,National Highway,Dry,Dusk,Signals,43,28,Male,Expired,Yes,Bridge,17.980224,79.597798,32.96121954917908,28.651284790039085,23.380456542968773
Uttar Pradesh,Varanasi,2022,January,Saturday,19:18,Minor,5,Bus,5,0,Rainy,National Highway,Dry,Dawn,,43,64,Male,,No,Straight Road,25.340176,82.994202,0.0026402439061712357,19.530969238281273,9.542169189453148
Punjab,Jalandhar,2019,July,Wednesday,1:22,Minor,4,Two-Wheeler,0,3,Hazy,State Highway,Dry,Dusk,Signals,102,61,Female,,No,Curve,31.331187,75.561452,182.79700316488245,30.910806274414085,23.456323242187523
Gujarat,Vadodara,2022,April,Tuesday,13:33,Serious,1,Two-Wheeler,9,0,Hazy,State Highway,Under Construction,Daylight,Police Checkpost,89,37,Female,Expired,Yes,Curve,22.329815,73.199238,0.01800936004414666,39.580117797851585,23.077996826171898
Nagaland,Kohima,2020,January,Tuesday,1:48,Fatal,4,Truck,0,2,Hazy,National Highway,Dry,Daylight,,101,50,Male,Expired,Yes,Curve,25.681838,94.108946,1.6588030366619932,17.60321960449221,7.82886657714846
Uttarakhand,Haridwar,2020,February,Tuesday,7:59,Fatal,2,Two-Wheeler,8,1,Stormy,Village Road,Under Construction,Daylight,,45,62,Male,Valid,Yes,Bridge,29.947386,78.16929,0.006008148115910217,21.620111083984398,9.84272155761721
Chandigarh,Chandigarh,2018,March,Friday,18:47,Serious,1,Car,5,1,Rainy,Village Road,Under Construction,Dusk,Police Checkpost,82,49,Male,Valid,No,Intersection,30.750885,76.776563,3.810959231770994,29.071435546875023,13.953530883789085
Meghalaya,Nongstoin,2019,August,Saturday,9:8,Fatal,3,Two-Wheeler,6,1,Rainy,State Highway,Under Construction,Dusk,,104,22,Female,,Yes,Straight Road,25.540198,91.25027,542.3490907996893,22.923547363281273,19.982278442382835
Karnataka,Mysore,2022,November,Friday,7:45,Serious,4,Bus,5,5,Stormy,Village Road,Dry,Dark,Police Checkpost,41,45,Female,,Yes,Straight Road,12.988634,77.57266,17.959173023598396,25.324807739257835,18.014077758789085
Meghalaya,Jowai,2023,December,Tuesday,23:34,Serious,2,Pedestrian,8,5,Stormy,Village Road,Wet,Dark,Signs,109,21,Female,Valid,Yes,Bridge,25.428349,92.217599,0.11214315765073479,16.16529235839846,8.217630004882835
Haryana,Ambala,2019,February,Tuesday,12:41,Serious,2,Truck,6,5,Clear,Village Road,Under Construction,Dawn,Signs,49,51,Female,Valid,Yes,Bridge,30.394408,76.762779,260.41566096114366,20.674905395507835,11.613519287109398
Gujarat,Surat,2023,March,Friday,22:9,Serious,5,Truck,2,4,Rainy,National Highway,Wet,Dusk,Signals,31,18,Female,,Yes,Straight Road,21.192387,72.816128,1.9714517200668524,34.56548461914065,22.295770263671898
Sikkim,Gangtok,2022,March,Tuesday,5:20,Serious,2,Truck,8,4,Hazy,National Highway,Dry,Dusk,Signs,31,49,Male,,No,Intersection,27.333738,88.628132,2.0626158323580057,12.989526367187523,3.0753417968750227
Jharkhand,Bokaro,2019,June,Friday,1:33,Serious,4,Cycle,10,0,Foggy,National Highway,Under Construction,Dark,Signals,40,63,Male,,No,Straight Road,23.667323,86.151843,4.034127294971768,43.3972106933594,31.49085388183596
Goa,Margao,2021,September,Friday,6:3,Minor,4,Truck,1,0,Clear,Urban Road,Damaged,Daylight,Police Checkpost,39,33,Male,Expired,No,Intersection,15.306351,73.969661,73.3812119801378,27.766778564453148,23.83594665527346
Telangana,Hyderabad,2022,September,Thursday,8:56,Serious,4,Auto-Rickshaw,4,3,Stormy,Village Road,Under Construction,Dusk,Signals,31,50,Male,Valid,Yes,Bridge,17.361997,78.475254,5.071832053374692,27.879617309570335,22.13160095214846
Telangana,Hyderabad,2022,March,Wednesday,8:6,Minor,5,Auto-Rickshaw,4,5,Stormy,State Highway,Under Construction,Dusk,Police Checkpost,113,46,Female,,No,Bridge,17.409532,78.477954,0.0017256346040994686,35.25484619140627,20.24988708496096
Haryana,Panipat,2019,March,Sunday,9:39,Minor,3,Pedestrian,3,0,Stormy,Village Road,Dry,Dawn,Signs,90,48,Female,Valid,No,Curve,29.37464,76.945161,2.1820834340360307,24.727334594726585,11.74567565917971
Puducherry,Karaikal,2021,February,Sunday,1:47,Fatal,3,Pedestrian,10,3,Stormy,National Highway,Dry,Dusk,Police Checkpost,67,55,Female,,No,Intersection,10.943606,79.858981,-9999.0,-9999.0,-9999.0
Goa,Mapusa,2018,January,Saturday,12:7,Fatal,2,Pedestrian,7,5,Hazy,Village Road,Under Construction,Dark,,117,39,Male,,Yes,Straight Road,15.585602,73.792634,0.01716613667213096,31.311074829101585,21.562661743164085
Gujarat,Vadodara,2021,June,Friday,2:27,Minor,5,Bus,2,3,Clear,National Highway,Dry,Dusk,,118,35,Female,Expired,No,Bridge,22.322668,73.185283,2.6010153534912206,36.46749267578127,27.098840332031273
Haryana,Gurugram,2022,January,Sunday,11:42,Minor,5,Two-Wheeler,9,2,Hazy,Urban Road,Damaged,Daylight,Signs,92,67,Female,,No,Straight Road,28.44282,77.023549,0.1830299760285925,16.500955200195335,7.946679687500023
Puducherry,Puducherry,2020,May,Saturday,21:52,Fatal,1,Car,1,0,Clear,State Highway,Damaged,Dark,Signs,95,31,Male,Valid,Yes,Straight Road,11.92867,79.826125,-9999.0,-9999.0,-9999.0
Jharkhand,Bokaro,2021,September,Wednesday,20:39,Serious,1,Car,3,0,Stormy,Village Road,Under Construction,Dawn,Police Checkpost,95,19,Female,Valid,No,Intersection,23.666437,86.171914,275.9075857688522,25.858682250976585,23.918923950195335
Goa,Margao,2019,April,Friday,14:14,Serious,1,Car,6,5,Clear,National Highway,Damaged,Dark,Police Checkpost,78,36,Male,Valid,No,Straight Road,15.297671,73.966374,2.4774700402758754,33.68978271484377,25.76618347167971
Bihar,Gaya,2018,October,Sunday,15:54,Minor,3,Auto-Rickshaw,1,2,Hazy,National Highway,Under Construction,Dusk,Signals,65,40,Male,Expired,No,Intersection,24.781727,84.984417,0.498318672150333,31.47705993652346,19.080407714843773
Jammu and Kashmir,Anantnag,2023,February,Monday,0:6,Serious,5,Auto-Rickshaw,2,1,Rainy,Village Road,Wet,Dawn,Police Checkpost,52,50,Male,Expired,Yes,Bridge,33.723897,75.170216,0.02357135230113272,10.848565673828148,0.23310241699221024
Jammu and Kashmir,Baramulla,2023,February,Friday,14:10,Serious,2,Car,4,1,Rainy,National Highway,Dry,Dark,Signs,61,29,Male,Valid,Yes,Bridge,34.210708,74.32764,0.02357135230113272,7.946221923828148,-0.40746154785153976
Madhya Pradesh,Indore,2023,October,Friday,7:18,Fatal,2,Truck,3,0,Clear,National Highway,Wet,Dark,Signals,85,23,Female,Valid,No,Straight Road,22.717028,75.842895,0.02058148317019004,32.90249023437502,21.191400146484398
Arunachal Pradesh,Itanagar,2019,March,Saturday,5:38,Fatal,5,Bus,9,2,Hazy,State Highway,Damaged,Daylight,Signs,119,44,Male,Valid,Yes,Intersection,27.072893,93.58506,42.236175617745175,23.685540771484398,16.995172119140648
Uttar Pradesh,Kanpur,2020,September,Wednesday,10:4,Fatal,2,Truck,0,3,Hazy,State Highway,Under Construction,Dusk,Police Checkpost,31,59,Female,,Yes,Straight Road,26.450364,80.341731,34.65945683399241,33.84516296386721,26.10102233886721
Meghalaya,Tura,2023,June,Thursday,8:14,Fatal,3,Pedestrian,0,2,Stormy,Village Road,Damaged,Dusk,Police Checkpost,115,58,Female,Expired,No,Bridge,25.494034,90.222868,866.5536658512458,30.928735351562523,23.27411804199221
Rajasthan,Udaipur,2021,May,Sunday,0:11,Serious,5,Car,8,4,Rainy,Urban Road,Wet,Dark,Signals,105,48,Female,,Yes,Intersection,24.574918,73.735595,0.027497890300764993,38.011697387695335,24.25965270996096
Delhi,Rohini,2023,March,Tuesday,9:2,Minor,2,Truck,7,5,Foggy,Urban Road,Wet,Daylight,Police Checkpost,40,32,Female,Expired,Yes,Intersection,28.739885,77.08796,0.31412967092592226,31.416284179687523,17.139520263671898
Mizoram,Aizawl,2022,February,Wednesday,14:0,Serious,5,Truck,8,2,Clear,Village Road,Dry,Daylight,Police Checkpost,35,35,Male,Valid,Yes,Curve,23.731267,92.702161,0.01669899000944497,24.05500183105471,8.315667724609398
Nagaland,Mokokchung,2021,February,Tuesday,16:7,Minor,2,Truck,6,0,Foggy,Village Road,Dry,Dawn,Signals,88,70,Female,Expired,Yes,Intersection,26.33997,94.516839,6.029313875785647,20.673181152343773,10.753472900390648
Kerala,Thiruvananthapuram,2022,August,Wednesday,22:12,Minor,4,Truck,4,0,Hazy,Village Road,Under Construction,Dusk,Police Checkpost,62,21,Male,Valid,Yes,Intersection,8.544672,76.949556,0.033197457650402384,30.617211914062523,23.681008911132835
Himachal Pradesh,Mandi,2020,July,Monday,19:19,Serious,5,Cycle,5,5,Stormy,Village Road,Dry,Dark,Police Checkpost,61,69,Male,Valid,Yes,Curve,31.729408,76.910853,39.309635296927325,24.667642211914085,17.095025634765648
Uttarakhand,Roorkee,2018,August,Friday,19:58,Minor,1,Bus,10,2,Stormy,State Highway,Dry,Dusk,Police Checkpost,120,29,Female,Valid,Yes,Bridge,29.875778,77.900694,50.034866007990786,31.397195434570335,24.909646606445335
Uttar Pradesh,Kanpur,2023,October,Friday,6:13,Serious,1,Two-Wheeler,4,1,Foggy,State Highway,Damaged,Dawn,Police Checkpost,120,20,Male,Valid,Yes,Intersection,26.432086,80.343449,0.02058148317019004,34.52431640625002,21.730462646484398
Mizoram,Champhai,2020,April,Saturday,3:34,Fatal,2,Bus,9,5,Stormy,Village Road,Dry,Dusk,Signals,120,44,Female,,Yes,Straight Road,23.464505,93.318913,5.05208969113724,30.34363708496096,16.68171081542971
Arunachal Pradesh,Pasighat,2021,May,Tuesday,5:25,Fatal,3,Two-Wheeler,7,5,Hazy,Urban Road,Dry,Daylight,,33,63,Male,Expired,No,Bridge,28.0563,95.308838,835.0479804304314,24.33918151855471,19.621118164062523
Nagaland,Mokokchung,2020,July,Tuesday,23:36,Fatal,4,Bus,6,1,Clear,State Highway,Under Construction,Dawn,Signals,106,64,Female,Valid,Yes,Curve,26.341304,94.544819,68.54905514465415,27.78315124511721,21.790338134765648
Bihar,Bhagalpur,2019,December,Saturday,6:39,Fatal,4,Bus,8,0,Hazy,Urban Road,Wet,Dusk,Signs,74,33,Male,Expired,Yes,Straight Road,25.261187,86.9611,12.571097919330754,23.090081787109398,15.96619567871096
Delhi,Dwarka,2020,April,Wednesday,23:54,Minor,3,Auto-Rickshaw,9,0,Foggy,Urban Road,Under Construction,Dawn,,79,19,Male,Valid,Yes,Intersection,28.59728,77.066613,1.090511679624484,37.05915222167971,21.88288269042971
Punjab,Patiala,2022,May,Thursday,22:25,Serious,1,Pedestrian,7,5,Foggy,National Highway,Dry,Dusk,Signals,69,19,Male,,No,Curve,30.347471,76.368443,0.005200504404001549,43.147195434570335,23.487817382812523
Chandigarh,Chandigarh,2022,May,Sunday,7:15,Minor,2,Pedestrian,1,3,Stormy,State Highway,Dry,Dark,Signs,73,28,Female,Valid,Yes,Bridge,30.74459,76.786489,0.005200504404001549,41.7549987792969,23.448754882812523
West Bengal,Kolkata,2019,November,Friday,2:15,Serious,1,Two-Wheeler,7,2,Rainy,National Highway,Damaged,Dawn,Police Checkpost,71,38,Male,Expired,Yes,Curve,22.581533,88.343587,0.0017106531231547706,29.345437622070335,18.932290649414085
Jharkhand,Bokaro,2020,July,Sunday,17:40,Fatal,5,Car,0,2,Foggy,Urban Road,Dry,Daylight,,38,26,Female,,Yes,Intersection,23.660357,86.17104,40.12052668677413,31.021112060546898,25.189019775390648
Tripura,Dharmanagar,2019,January,Sunday,18:48,Fatal,4,Cycle,2,5,Stormy,National Highway,Wet,Dark,Signs,97,49,Male,Valid,No,Bridge,24.37171,92.156391,0.20233228542565485,24.11029968261721,12.265176391601585
Tamil Nadu,Coimbatore,2018,October,Saturday,19:23,Serious,1,Bus,2,1,Foggy,State Highway,Dry,Dawn,Signs,59,18,Female,Expired,No,Straight Road,11.025335,76.960465,73.47238399085398,28.89698181152346,21.12104187011721
Goa,Vasco da Gama,2018,June,Friday,0:37,Minor,2,Car,10,5,Clear,Village Road,Wet,Dark,Signals,86,23,Male,,Yes,Straight Road,15.391553,73.828786,-9999.0,-9999.0,-9999.0
Chandigarh,Chandigarh,2019,December,Wednesday,12:58,Minor,5,Cycle,6,4,Rainy,Urban Road,Under Construction,Daylight,,103,43,Male,,Yes,Bridge,30.710639,76.77587,2.32703388629929,17.874246215820335,6.63807067871096
Haryana,Panipat,2020,March,Wednesday,17:12,Serious,2,Pedestrian,8,5,Rainy,Urban Road,Under Construction,Dawn,Police Checkpost,113,34,Female,Expired,No,Intersection,29.413173,76.963211,9.407952800358999,21.54010925292971,11.190332031250023
Nagaland,Mokokchung,2021,August,Thursday,13:19,Minor,4,Cycle,7,0,Stormy,Village Road,Dry,Daylight,Signals,103,40,Female,Valid,No,Straight Road,26.319716,94.511422,122.11758268369977,27.042230224609398,22.652444458007835
Odisha,Puri,2021,January,Tuesday,5:52,Fatal,1,Pedestrian,1,0,Rainy,State Highway,Damaged,Dark,Signs,41,61,Male,Valid,No,Curve,19.830975,85.845975,0.9527981280257336,26.871789550781273,18.479882812500023
Gujarat,Ahmedabad,2019,July,Wednesday,7:25,Minor,3,Bus,10,0,Rainy,National Highway,Wet,Daylight,Police Checkpost,35,68,Male,Expired,No,Intersection,23.028987,72.574171,4.360945522780213,37.34664306640627,27.774697875976585
Haryana,Panipat,2020,August,Wednesday,3:59,Fatal,3,Car,3,5,Foggy,State Highway,Under Construction,Dawn,Signs,38,67,Male,Expired,Yes,Bridge,29.403379,76.986732,17.60479733337661,32.25422058105471,25.961358642578148
Meghalaya,Shillong,2021,April,Monday,15:39,Serious,5,Cycle,3,0,Hazy,Village Road,Dry,Dawn,,42,38,Male,Expired,Yes,Straight Road,25.588037,91.89731,66.90477953473106,24.351037597656273,14.936334228515648
Jammu and Kashmir,Jammu,2019,October,Wednesday,13:54,Serious,5,Truck,7,2,Clear,Urban Road,Wet,Dawn,Signals,103,43,Female,Expired,Yes,Bridge,32.741835,74.832832,28.949925390463704,27.840386962890648,16.700189208984398
West Bengal,Kolkata,2018,January,Friday,11:11,Serious,5,Pedestrian,2,3,Clear,National Highway,Dry,Dawn,Signals,31,46,Male,Valid,Yes,Straight Road,22.554773,88.371953,0.01716613667213096,23.074304199218773,10.318521118164085
Tripura,Dharmanagar,2018,April,Monday,19:54,Serious,4,Two-Wheeler,2,3,Clear,Urban Road,Under Construction,Dawn,Signs,110,50,Female,Expired,No,Bridge,24.364875,92.145016,119.06304731845196,31.57575378417971,21.311578369140648
Goa,Margao,2018,May,Friday,17:21,Minor,3,Truck,4,2,Stormy,Village Road,Wet,Dusk,Police Checkpost,41,47,Female,Expired,Yes,Intersection,15.281657,74.005061,3.764033317565918,35.12661132812502,25.497857666015648
Arunachal Pradesh,Itanagar,2021,July,Sunday,15:59,Minor,3,Auto-Rickshaw,5,3,Hazy,National Highway,Damaged,Dawn,,51,37,Male,,No,Straight Road,27.086725,93.612119,121.07341885463896,28.43317565917971,23.763772583007835
West Bengal,Siliguri,2023,November,Thursday,18:19,Serious,5,Car,7,4,Hazy,National Highway,Damaged,Dawn,,70,49,Male,Expired,Yes,Curve,22.556708,88.347791,0.0042080879012473815,30.24268493652346,19.70673522949221
Gujarat,Vadodara,2020,October,Thursday,7:21,Serious,1,Bus,2,3,Hazy,State Highway,Dry,Dusk,,42,60,Male,,No,Intersection,22.316505,73.204312,8.451320230960846,34.987222290039085,27.425378417968773
Bihar,Bhagalpur,2021,February,Friday,15:4,Serious,2,Car,8,0,Stormy,National Highway,Damaged,Dusk,Signs,32,60,Male,Expired,Yes,Intersection,25.231507,87.007549,0.005985124460039515,26.449014282226585,12.30744323730471
Himachal Pradesh,Solan,2020,December,Wednesday,22:13,Minor,2,Car,0,2,Stormy,State Highway,Wet,Dawn,Signs,105,40,Male,Valid,No,Curve,30.900073,77.111787,0.24919509877463497,14.079080200195335,3.8203369140625227
Haryana,Ambala,2018,May,Sunday,3:36,Serious,2,Car,8,0,Hazy,National Highway,Dry,Dusk,Signs,35,42,Male,,No,Bridge,30.390112,76.762145,1.6972869634628296,36.79851684570315,23.988092041015648
Manipur,Thoubal,2022,September,Friday,23:52,Serious,4,Auto-Rickshaw,8,3,Hazy,Village Road,Wet,Dawn,,64,54,Female,Expired,Yes,Bridge,24.615067,94.004623,28.6262949928755,24.300775146484398,19.965814208984398
Tamil Nadu,Chennai,2021,December,Sunday,2:43,Fatal,4,Auto-Rickshaw,5,4,Stormy,Urban Road,Wet,Dusk,,31,56,Male,Valid,No,Bridge,13.081903,80.286667,-9999.0,-9999.0,-9999.0
Chandigarh,Chandigarh,2018,December,Sunday,23:1,Serious,1,Cycle,4,2,Stormy,National Highway,Under Construction,Daylight,,78,52,Male,Valid,Yes,Intersection,30.724048,76.767425,0.03276169144328378,20.973382568359398,5.106713867187523
Chhattisgarh,Bhilai,2022,January,Saturday,5:4,Serious,2,Car,5,4,Clear,National Highway,Damaged,Daylight,Signs,105,32,Female,,No,Curve,21.234004,81.392723,16.308979075688512,22.395486450195335,15.862481689453148
Goa,Panaji,2020,June,Saturday,6:17,Minor,2,Pedestrian,8,4,Rainy,National Highway,Damaged,Dawn,Police Checkpost,100,30,Female,,Yes,Straight Road,15.5114,73.84413,425.0305482132717,27.98291931152346,25.383889770507835
