,State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Latitude,Longitude,Rainfall_mm,Max_temp_celsius,Min_temp_celsius,Traffic Congestion
1217,Mizoram,Champhai,2019,May,Wednesday,7:25,Minor,5,Truck,5,1,Hazy,State Highway,Dry,Daylight,Signals,95,26,Male,,No,Bridge,23.483711,93.322522,14.824195578658106,27.994836425781276,16.97290954589846,1.0
1218,Puducherry,Puducherry,2021,June,Tuesday,1:7,Fatal,3,Truck,7,0,Rainy,Village Road,Under Construction,Dawn,Signs,56,30,Female,Valid,No,Intersection,11.940662,79.792489,1.0250983479522802,34.74532470703127,26.883569335937523,0.7745966692414833
1219,Kerala,Thrissur,2020,January,Thursday,8:1,Serious,3,Pedestrian,5,5,Clear,Urban Road,Under Construction,Dusk,Police Checkpost,73,20,Male,Valid,No,Straight Road,10.512822,76.214256,0.0136673434099066,33.9616638183594,22.955346679687523,0.7745966692414833
1220,Puducherry,Puducherry,2020,December,Thursday,10:47,Serious,5,Bus,9,5,Stormy,Village Road,Damaged,Daylight,Signals,35,59,Female,Valid,Yes,Curve,11.938474,79.822931,-9999.0,-9999.0,-9999.0,1.0
1221,Goa,Panaji,2019,August,Tuesday,7:15,Minor,4,Car,0,4,Clear,Urban Road,Wet,Daylight,,115,27,Female,Valid,No,Bridge,15.48042,73.823129,530.7164285331964,25.871667480468773,24.01386413574221,0.8944271909999159
1222,Chhattisgarh,Durg,2019,July,Tuesday,16:37,Minor,3,Car,0,3,Rainy,National Highway,Under Construction,Daylight,Signs,39,45,Male,Expired,Yes,Straight Road,21.198632,81.307106,4.567784816021714,32.99471435546877,26.653588867187523,0.7745966692414833
1223,Puducherry,Puducherry,2021,March,Friday,16:25,Minor,3,Two-Wheeler,2,5,Foggy,Village Road,Dry,Dawn,,53,61,Male,Expired,Yes,Straight Road,11.949474,79.814273,-9999.0,-9999.0,-9999.0,0.7745966692414833
1224,Mizoram,Champhai,2018,March,Monday,3:56,Fatal,3,Two-Wheeler,6,4,Foggy,National Highway,Under Construction,Dark,Signals,106,29,Male,Expired,No,Curve,23.467031,93.301804,0.0954962491164224,24.646936035156276,13.747369384765648,0.7745966692414833
1225,Assam,Silchar,2021,August,Monday,5:5,Fatal,3,Auto-Rickshaw,4,3,Hazy,State Highway,Dry,Dusk,Signals,42,33,Female,Valid,Yes,Straight Road,24.853753,92.763543,78.10474557174985,29.507485961914085,25.294335937500023,0.7745966692414833
1226,Nagaland,Kohima,2018,November,Thursday,3:46,Minor,4,Cycle,6,2,Foggy,Village Road,Damaged,Dusk,Police Checkpost,120,28,Female,,No,Intersection,25.69634,94.113141,5.984181060398441,20.248620605468773,9.850823974609398,0.8944271909999159
1227,Himachal Pradesh,Solan,2020,May,Monday,8:2,Minor,1,Truck,1,0,Rainy,National Highway,Damaged,Daylight,Signs,68,66,Female,,Yes,Straight Road,30.891001,77.0749,4.439099131786861,28.501245117187523,16.318597412109398,0.4472135954999579
1228,Haryana,Gurugram,2022,September,Saturday,14:52,Minor,3,Bus,5,5,Foggy,Village Road,Dry,Dusk,Signals,67,57,Female,Expired,Yes,Intersection,28.47797,77.049821,359.37117803842966,27.177697753906276,24.17756042480471,0.7745966692414833
1229,Mizoram,Aizawl,2019,December,Saturday,0:50,Serious,1,Truck,2,2,Clear,Urban Road,Wet,Dark,Signs,71,62,Female,Valid,Yes,Bridge,23.713973,92.731504,0.0137180179216045,23.4963317871094,11.06189880371096,0.4472135954999579
1230,Sikkim,Gangtok,2023,June,Monday,6:5,Fatal,4,Pedestrian,8,3,Stormy,National Highway,Wet,Dawn,,93,38,Female,Valid,Yes,Curve,27.355132,88.62634,434.7655845480069,14.33045349121096,10.452294921875025,0.8944271909999159
1231,Bihar,Muzaffarpur,2018,April,Sunday,23:33,Fatal,5,Two-Wheeler,10,2,Hazy,Village Road,Damaged,Dawn,,41,39,Female,,No,Bridge,26.098714,85.369097,0.014939903014266,37.56696472167971,21.18390808105471,1.0
1232,Chhattisgarh,Raipur,2018,July,Saturday,13:23,Fatal,1,Pedestrian,6,0,Hazy,State Highway,Dry,Dawn,,65,44,Male,Valid,Yes,Curve,21.245698,81.608156,371.3807883699332,30.894952392578148,24.36628112792971,0.4472135954999579
1233,Goa,Panaji,2023,August,Monday,4:41,Serious,3,Pedestrian,3,4,Clear,Village Road,Wet,Dusk,Signs,111,40,Female,,Yes,Straight Road,15.490399,73.847575,49.85755868256092,28.722207641601585,23.744485473632835,0.7745966692414833
1234,Arunachal Pradesh,Itanagar,2022,July,Wednesday,8:38,Fatal,1,Truck,1,5,Rainy,Village Road,Under Construction,Dark,,70,63,Male,Valid,No,Intersection,27.107909,93.584436,70.20281665855421,30.681542968750023,22.496728515625023,0.4472135954999579
1235,Punjab,Amritsar,2022,June,Sunday,0:24,Serious,2,Bus,4,3,Hazy,State Highway,Damaged,Dawn,,88,34,Male,Valid,Yes,Curve,31.633372,74.869372,2.121549844503079,43.3083435058594,29.991616821289085,0.6324555320336759
1236,Arunachal Pradesh,Pasighat,2018,September,Friday,12:52,Serious,2,Car,1,1,Foggy,State Highway,Dry,Daylight,,102,43,Female,,No,Curve,28.069511,95.306711,3.0969522893329327,30.526773071289085,23.293740844726585,0.6324555320336759
1237,Meghalaya,Nongstoin,2020,April,Saturday,4:28,Serious,5,Cycle,6,0,Hazy,State Highway,Under Construction,Dusk,Signals,39,65,Male,,Yes,Curve,25.530422,91.240849,46.03285342452424,24.686730957031276,15.15632019042971,1.0
1238,Puducherry,Puducherry,2020,October,Friday,18:7,Serious,3,Bus,8,3,Clear,Urban Road,Under Construction,Dawn,Signs,89,34,Female,Valid,Yes,Intersection,11.965444,79.795819,0.0,32.065347290039085,25.880456542968773,0.7745966692414833
1239,Delhi,New Delhi,2023,June,Tuesday,17:58,Serious,5,Cycle,10,3,Hazy,National Highway,Dry,Dark,Police Checkpost,73,68,Female,Valid,No,Intersection,28.596258,77.223407,2.2295413212880533,38.0881286621094,28.554971313476585,1.0
1240,Delhi,Rohini,2022,October,Saturday,12:20,Minor,3,Pedestrian,10,3,Stormy,Village Road,Under Construction,Dark,Signs,70,39,Female,Valid,No,Intersection,28.772113,77.072019,0.0008593783036303,29.661920166015648,17.510400390625023,0.7745966692414833
1241,Punjab,Ludhiana,2021,December,Wednesday,6:39,Fatal,1,Pedestrian,0,2,Clear,State Highway,Damaged,Dawn,Signs,103,67,Female,,Yes,Straight Road,30.895007,75.862738,0.0039130448641344,19.59778747558596,6.16388854980471,0.4472135954999579
1242,Bihar,Muzaffarpur,2019,June,Saturday,2:25,Minor,5,Truck,9,4,Hazy,Village Road,Wet,Daylight,Police Checkpost,102,34,Female,Expired,Yes,Bridge,26.122993,85.386834,0.0301033257983363,43.96717224121096,28.71936950683596,1.0
1243,West Bengal,Siliguri,2018,July,Sunday,3:7,Fatal,5,Car,5,1,Clear,State Highway,Dry,Dusk,Signals,98,49,Female,,No,Intersection,22.587823,88.386157,77.51835240320304,31.56275329589846,26.19245300292971,1.0
1244,Andhra Pradesh,Visakhapatnam,2021,August,Monday,8:7,Fatal,1,Pedestrian,1,2,Hazy,Village Road,Under Construction,Dawn,Signals,104,65,Male,,Yes,Straight Road,17.711371,83.21399,189.24799000217263,31.7375427246094,25.992288208007835,0.4472135954999579
1245,Rajasthan,Jaipur,2019,December,Friday,12:11,Serious,1,Bus,1,2,Clear,Urban Road,Under Construction,Dusk,Police Checkpost,45,26,Female,Expired,Yes,Intersection,26.924559,75.803953,0.0137180179216045,18.4487243652344,8.204995727539085,0.4472135954999579
1246,Kerala,Kochi,2021,June,Thursday,16:55,Serious,2,Pedestrian,3,1,Clear,Village Road,Damaged,Dawn,Signs,108,57,Female,Expired,Yes,Bridge,9.919347,76.262285,292.5162436160349,27.2065368652344,24.657434082031276,0.6324555320336759
1247,Himachal Pradesh,Dharamshala,2019,May,Wednesday,15:35,Minor,1,Auto-Rickshaw,4,1,Rainy,Village Road,Under Construction,Daylight,,55,59,Female,,Yes,Curve,32.202119,76.333268,49.08690303560448,12.731225585937525,2.6796508789062727,0.4472135954999579
1248,Manipur,Bishnupur,2019,September,Thursday,12:40,Fatal,5,Bus,8,0,Stormy,Urban Road,Under Construction,Daylight,Signs,90,41,Female,,Yes,Bridge,24.637304,93.77263,24.55205395807525,26.580224609375023,20.46949157714846,1.0
1249,Arunachal Pradesh,Itanagar,2023,May,Sunday,20:0,Serious,1,Two-Wheeler,3,4,Rainy,Urban Road,Dry,Dusk,Police Checkpost,84,25,Male,Expired,Yes,Bridge,27.090604,93.617524,50.09287307925448,26.360635375976585,20.549249267578148,0.4472135954999579
1250,Andhra Pradesh,Visakhapatnam,2020,November,Monday,7:13,Serious,2,Car,9,0,Stormy,Village Road,Under Construction,Dark,,104,37,Female,Expired,No,Intersection,17.676993,83.239378,-9999.0,-9999.0,-9999.0,0.6324555320336759
1251,Manipur,Imphal,2022,November,Friday,1:10,Serious,4,Two-Wheeler,1,1,Stormy,National Highway,Dry,Dark,Police Checkpost,104,45,Female,Expired,No,Straight Road,24.821531,93.923113,0.0011205672194591,23.5131774902344,10.99891052246096,0.8944271909999159
1252,Tripura,Dharmanagar,2021,February,Monday,0:37,Fatal,4,Truck,9,0,Stormy,National Highway,Dry,Daylight,Signs,87,64,Female,Valid,No,Curve,24.36542,92.166792,0.0059851244600395,27.726892089843773,13.103082275390648,0.8944271909999159
1253,Puducherry,Karaikal,2023,March,Tuesday,0:0,Serious,2,Car,9,1,Clear,Village Road,Dry,Dawn,Police Checkpost,37,40,Female,Valid,Yes,Straight Road,10.92939,79.855707,-9999.0,-9999.0,-9999.0,0.6324555320336759
1254,Mizoram,Champhai,2021,August,Sunday,1:37,Serious,3,Cycle,3,2,Stormy,National Highway,Dry,Dusk,Signals,35,27,Female,Expired,No,Curve,23.446645,93.338355,73.71594195558373,25.780923461914085,19.265039062500023,0.7745966692414833
1255,Meghalaya,Shillong,2022,September,Friday,19:41,Minor,1,Auto-Rickshaw,7,4,Clear,State Highway,Wet,Dawn,Police Checkpost,31,56,Female,,Yes,Intersection,25.572976,91.872107,309.2772645875925,23.30957946777346,18.772119140625023,0.4472135954999579
1256,Manipur,Bishnupur,2023,October,Thursday,14:58,Serious,1,Car,7,1,Hazy,National Highway,Under Construction,Daylight,Police Checkpost,56,63,Male,Valid,Yes,Curve,24.619021,93.805266,0.7994353764502193,26.332177734375023,18.610025024414085,0.4472135954999579
1257,Meghalaya,Shillong,2019,October,Saturday,9:2,Serious,4,Cycle,10,0,Hazy,State Highway,Under Construction,Dawn,,112,47,Male,,No,Intersection,25.602723,91.911375,145.9284440553006,26.077416992187523,15.951623535156273,0.8944271909999159
1258,Chandigarh,Chandigarh,2021,May,Sunday,16:28,Minor,2,Two-Wheeler,0,5,Hazy,Village Road,Under Construction,Daylight,Signs,89,32,Female,Expired,Yes,Curve,30.728646,76.804332,23.29135465890886,32.15857849121096,18.08973083496096,0.6324555320336759
1259,Maharashtra,Nagpur,2023,April,Friday,3:4,Fatal,2,Cycle,5,3,Rainy,National Highway,Under Construction,Daylight,Police Checkpost,30,31,Female,Valid,Yes,Intersection,21.156531,79.10909,1.3534152468537286,36.713662719726585,24.62595520019533,0.6324555320336759
1260,Karnataka,Mangalore,2022,May,Saturday,21:5,Serious,4,Auto-Rickshaw,2,3,Foggy,Urban Road,Under Construction,Dawn,Signals,98,21,Female,Expired,Yes,Curve,12.966438,77.585482,108.4773596367654,28.869058227539085,21.09589538574221,0.8944271909999159
1261,Haryana,Panipat,2018,September,Sunday,21:46,Serious,1,Cycle,2,3,Foggy,National Highway,Dry,Dawn,Signals,67,38,Male,Valid,Yes,Bridge,29.405688,76.975142,2.710390090932435,31.677667236328148,23.065225219726585,0.4472135954999579
1262,Puducherry,Karaikal,2022,August,Monday,4:34,Fatal,4,Bus,10,2,Stormy,National Highway,Damaged,Dark,Signals,109,27,Male,,No,Straight Road,10.931115,79.821281,-9999.0,-9999.0,-9999.0,0.8944271909999159
1263,Puducherry,Puducherry,2022,December,Saturday,15:51,Minor,4,Pedestrian,5,3,Foggy,Village Road,Dry,Dawn,Signs,111,35,Male,Expired,No,Curve,11.939611,79.813363,-9999.0,-9999.0,-9999.0,0.8944271909999159
1264,Haryana,Faridabad,2021,August,Thursday,10:54,Fatal,3,Car,4,1,Clear,State Highway,Dry,Dawn,Police Checkpost,36,55,Female,Valid,No,Straight Road,28.394647,77.316801,0.0283587474996238,34.474649047851585,26.081933593750023,0.7745966692414833
1265,Jharkhand,Jamshedpur,2019,April,Tuesday,17:42,Serious,5,Auto-Rickshaw,8,0,Stormy,Urban Road,Damaged,Dawn,Signs,99,42,Male,Valid,Yes,Straight Road,22.810913,86.207534,0.0008523463748133,39.30489501953127,22.085488891601585,1.0
1266,Karnataka,Mysore,2021,February,Friday,6:5,Serious,3,Two-Wheeler,10,2,Foggy,Village Road,Dry,Dawn,Police Checkpost,80,69,Male,,Yes,Curve,12.975724,77.597058,0.0059851244600395,29.54895935058596,14.61994323730471,0.7745966692414833
1267,Manipur,Bishnupur,2021,August,Saturday,10:15,Minor,5,Pedestrian,4,5,Hazy,State Highway,Under Construction,Dusk,Police Checkpost,90,27,Female,,Yes,Bridge,24.629185,93.802299,30.106866707342306,26.179360961914085,21.436914062500023,1.0
1268,Manipur,Thoubal,2019,November,Friday,20:40,Minor,1,Two-Wheeler,0,0,Hazy,Village Road,Damaged,Daylight,,38,46,Female,Expired,No,Curve,24.631682,94.021161,0.0742793081371928,24.18723449707033,12.455728149414083,0.4472135954999579
1269,Odisha,Puri,2018,February,Sunday,7:30,Minor,2,Auto-Rickshaw,0,2,Rainy,Village Road,Dry,Daylight,Signals,64,60,Male,,No,Curve,19.814818,85.830932,0.0191820459463087,28.97791442871096,17.826776123046898,0.6324555320336759
1270,West Bengal,Durgapur,2018,February,Sunday,8:14,Fatal,5,Truck,6,0,Hazy,National Highway,Wet,Daylight,Police Checkpost,81,25,Male,Expired,Yes,Straight Road,23.539443,87.2983,0.1565707521535841,27.24463806152346,13.676385498046898,1.0
1271,Kerala,Kochi,2018,February,Friday,1:5,Minor,1,Car,4,4,Rainy,Urban Road,Dry,Daylight,Signals,47,27,Female,,Yes,Bridge,9.912366,76.266611,0.0869972305395094,31.83143005371096,23.739770507812523,0.4472135954999579
1272,Jammu and Kashmir,Anantnag,2018,July,Wednesday,14:1,Fatal,5,Auto-Rickshaw,7,2,Rainy,Village Road,Damaged,Dark,Police Checkpost,37,61,Male,Expired,Yes,Intersection,33.731693,75.130182,33.17277794972995,23.809014892578148,18.667443847656276,1.0
1273,Delhi,Rohini,2018,June,Saturday,10:30,Serious,1,Two-Wheeler,2,1,Clear,State Highway,Dry,Dark,,111,56,Male,Expired,Yes,Intersection,28.767363,77.07245,0.0008535584470337,38.74675903320315,31.242471313476585,0.4472135954999579
1274,Tamil Nadu,Madurai,2021,December,Saturday,16:57,Fatal,1,Car,0,0,Hazy,National Highway,Damaged,Dusk,,111,25,Male,Expired,Yes,Curve,9.933382,78.116316,21.57576903694292,28.011087036132835,22.695886230468773,0.4472135954999579
1275,Haryana,Ambala,2023,January,Tuesday,16:53,Minor,1,Auto-Rickshaw,0,2,Rainy,National Highway,Wet,Dusk,Police Checkpost,80,54,Male,,Yes,Curve,30.361482,76.796858,0.3154389763153631,16.348245239257835,6.37238464355471,0.4472135954999579
1276,Nagaland,Dimapur,2020,May,Tuesday,5:13,Minor,2,Cycle,7,3,Clear,National Highway,Wet,Dark,,34,19,Male,Expired,No,Intersection,25.916173,93.750801,122.54761848475935,26.95459899902346,20.78229675292971,0.6324555320336759
1277,Maharashtra,Pune,2022,June,Friday,19:19,Serious,1,Cycle,8,5,Rainy,Urban Road,Under Construction,Dusk,Signals,94,25,Male,Expired,Yes,Straight Road,18.51538,73.86507,21.620257571100865,30.799096679687523,22.64692077636721,0.4472135954999579
1278,Himachal Pradesh,Mandi,2020,June,Tuesday,15:19,Fatal,1,Truck,8,4,Rainy,National Highway,Wet,Daylight,Signals,94,61,Female,Valid,Yes,Straight Road,31.705148,76.916637,2.1930039806647983,25.83045349121096,13.612771606445335,0.4472135954999579
1279,Himachal Pradesh,Shimla,2022,September,Saturday,6:44,Fatal,3,Two-Wheeler,4,4,Stormy,National Highway,Dry,Dark,Signs,69,45,Male,,No,Bridge,31.121475,77.1704,168.82189754397814,23.027307128906276,15.33667907714846,0.7745966692414833
1280,Chhattisgarh,Korba,2019,August,Sunday,0:28,Serious,2,Auto-Rickshaw,8,2,Clear,Village Road,Damaged,Dusk,,36,24,Male,Expired,Yes,Straight Road,22.380007,82.750352,106.20588809251784,29.56379089355471,23.881250000000023,0.6324555320336759
1281,Puducherry,Karaikal,2018,July,Friday,22:2,Serious,3,Pedestrian,2,4,Stormy,National Highway,Dry,Daylight,Signs,117,52,Female,Expired,No,Bridge,10.937085,79.831122,-9999.0,-9999.0,-9999.0,0.7745966692414833
1282,Gujarat,Surat,2022,August,Sunday,7:11,Minor,1,Auto-Rickshaw,10,0,Clear,Urban Road,Dry,Dark,Signals,120,46,Male,Expired,Yes,Bridge,21.164311,72.825375,220.29836987958265,27.22120056152346,25.188821411132835,0.4472135954999579
1283,Chandigarh,Chandigarh,2023,September,Tuesday,8:59,Serious,5,Two-Wheeler,1,4,Rainy,Village Road,Damaged,Dark,,115,44,Male,Valid,Yes,Intersection,30.750865,76.773332,253.34370657791183,29.49640808105471,24.13938293457033,1.0
1284,Haryana,Ambala,2018,May,Tuesday,1:43,Fatal,4,Bus,2,1,Rainy,Village Road,Under Construction,Dark,Signs,66,36,Female,,Yes,Bridge,30.401985,76.758217,1.889057457447052,36.78484497070315,23.816217041015648,0.8944271909999159
1285,Karnataka,Bangalore,2019,October,Saturday,22:5,Minor,4,Cycle,0,5,Rainy,State Highway,Under Construction,Dusk,Signals,90,69,Male,Valid,No,Intersection,12.963127,77.584337,77.40072504935824,26.5436950683594,19.7763610839844,0.8944271909999159
1286,Jammu and Kashmir,Srinagar,2020,March,Friday,20:15,Fatal,5,Two-Wheeler,7,3,Foggy,State Highway,Under Construction,Dark,,49,47,Female,,No,Bridge,34.065957,74.788017,1.2129157781259892,10.51081237792971,-0.3452972412109147,1.0
1287,Rajasthan,Jaipur,2019,April,Saturday,6:58,Serious,5,Pedestrian,9,0,Foggy,National Highway,Dry,Dark,Signals,101,18,Female,Valid,Yes,Bridge,26.916827,75.766633,7.67603069539291,38.1894470214844,22.62946472167971,1.0
1288,West Bengal,Siliguri,2021,June,Saturday,11:9,Serious,2,Cycle,4,4,Foggy,State Highway,Dry,Dawn,Signs,89,31,Male,Expired,Yes,Straight Road,22.579097,88.38326,405.8793084415697,29.166055297851585,26.11414489746096,0.6324555320336759
1289,Punjab,Jalandhar,2021,April,Tuesday,17:24,Minor,4,Two-Wheeler,2,0,Rainy,State Highway,Damaged,Dawn,Signs,45,36,Male,,Yes,Intersection,31.33023,75.569928,3.5114698223210894,36.38033447265627,19.84836730957033,0.8944271909999159
1290,Maharashtra,Nagpur,2022,July,Monday,22:51,Serious,2,Truck,10,2,Clear,State Highway,Under Construction,Dawn,Police Checkpost,90,39,Female,Expired,Yes,Bridge,21.163389,79.084606,549.3607943960405,26.203302001953148,24.213525390625023,0.6324555320336759
1291,Sikkim,Gyalshing,2022,June,Wednesday,21:7,Serious,5,Pedestrian,1,0,Rainy,National Highway,Dry,Dusk,Signals,61,64,Male,,No,Intersection,27.277832,88.276035,990.123896673083,19.6645446777344,16.602655029296898,1.0
1292,Jharkhand,Dhanbad,2023,March,Tuesday,2:32,Minor,4,Bus,6,4,Foggy,Urban Road,Wet,Dark,Signs,47,20,Male,Valid,No,Curve,23.818683,86.423616,0.4597140157898138,34.19642028808596,18.420205688476585,0.8944271909999159
1293,Puducherry,Karaikal,2020,October,Monday,19:12,Fatal,1,Auto-Rickshaw,8,0,Foggy,Village Road,Under Construction,Dusk,Signals,116,52,Male,Expired,No,Bridge,10.902485,79.858497,-9999.0,-9999.0,-9999.0,0.4472135954999579
1294,Tamil Nadu,Coimbatore,2023,April,Monday,16:9,Minor,4,Truck,5,2,Stormy,Urban Road,Dry,Daylight,,47,27,Male,,No,Curve,11.020224,76.945485,0.0115880330895379,37.08498535156252,22.842691040039085,0.8944271909999159
1295,Madhya Pradesh,Bhopal,2020,November,Monday,17:37,Minor,4,Pedestrian,9,4,Rainy,State Highway,Dry,Dark,,43,56,Female,,No,Intersection,23.242372,77.437531,0.0189633365152985,30.3901306152344,20.629815673828148,0.8944271909999159
1296,Odisha,Rourkela,2022,April,Thursday,14:30,Minor,2,Auto-Rickshaw,6,3,Rainy,Urban Road,Wet,Daylight,,65,37,Male,,No,Straight Road,22.2511,84.873998,1.124241764753009,40.37000427246096,26.581338500976585,0.6324555320336759
1297,Kerala,Thiruvananthapuram,2020,August,Saturday,11:48,Minor,1,Cycle,7,1,Hazy,National Highway,Under Construction,Dawn,Signals,82,41,Male,Valid,No,Intersection,8.529363,76.949533,16.981915756957733,28.06086120605471,23.928155517578148,0.4472135954999579
1298,Chandigarh,Chandigarh,2018,July,Saturday,7:37,Fatal,1,Car,1,3,Hazy,Village Road,Dry,Daylight,Signs,47,59,Female,,No,Bridge,30.742288,76.787204,22.179112865487127,34.04061279296877,26.2089782714844,0.4472135954999579
1299,Sikkim,Mangan,2023,June,Saturday,3:44,Fatal,3,Bus,7,1,Hazy,Urban Road,Dry,Dusk,Police Checkpost,95,18,Male,Valid,Yes,Curve,27.522862,88.519335,403.9971602754697,13.11792907714846,10.201989746093773,0.7745966692414833
1300,Uttar Pradesh,Kanpur,2021,November,Wednesday,17:17,Minor,3,Truck,7,3,Hazy,Village Road,Under Construction,Daylight,Signals,64,46,Female,Valid,No,Curve,26.455232,80.335196,0.0038951628198446,24.899102783203148,13.266763305664083,0.7745966692414833
1301,Sikkim,Namchi,2023,November,Saturday,2:58,Serious,3,Auto-Rickshaw,6,3,Rainy,Urban Road,Damaged,Dark,Signals,47,68,Male,Valid,Yes,Curve,27.162859,88.366434,5.46510368583597,20.274133300781276,13.735574340820335,0.7745966692414833
1302,Uttarakhand,Haridwar,2023,October,Sunday,8:21,Serious,4,Pedestrian,2,2,Stormy,Urban Road,Under Construction,Dawn,Signs,77,41,Male,,No,Curve,29.927588,78.167078,5.888181924149194,30.177880859375023,16.621087646484398,0.8944271909999159
1303,Chhattisgarh,Raipur,2020,December,Monday,13:0,Minor,3,Pedestrian,1,4,Rainy,Urban Road,Wet,Dusk,Police Checkpost,35,55,Female,Valid,No,Intersection,21.266063,81.639277,0.3873735665251843,27.33689270019533,19.03547058105471,0.7745966692414833
1304,Karnataka,Bangalore,2019,November,Saturday,12:3,Fatal,2,Cycle,9,1,Foggy,Village Road,Damaged,Dark,Police Checkpost,54,29,Male,Valid,No,Bridge,12.980301,77.619429,33.420541137274995,26.257852172851585,19.184732055664085,0.6324555320336759
1305,Telangana,Karimnagar,2020,March,Sunday,14:33,Fatal,2,Pedestrian,0,5,Stormy,Village Road,Wet,Daylight,Police Checkpost,64,62,Female,Valid,No,Curve,18.45734,79.104087,0.1123011111872074,32.260110473632835,22.926660156250023,0.6324555320336759
1306,Chhattisgarh,Korba,2018,August,Thursday,23:21,Serious,4,Bus,9,2,Rainy,State Highway,Under Construction,Dark,Signs,56,39,Female,,Yes,Intersection,22.341804,82.739813,185.5719800023508,30.286035156250023,24.85886535644533,0.8944271909999159
1307,Himachal Pradesh,Dharamshala,2021,June,Saturday,10:30,Minor,1,Pedestrian,3,1,Rainy,Urban Road,Damaged,Dusk,Police Checkpost,96,32,Male,,No,Bridge,32.199071,76.34562,8.295300388624582,23.0659118652344,16.067590332031273,0.4472135954999579
1308,Odisha,Rourkela,2020,August,Wednesday,1:10,Minor,2,Pedestrian,7,1,Foggy,Village Road,Dry,Daylight,Signals,38,53,Male,Expired,No,Bridge,22.283537,84.833885,256.0037013142278,30.506158447265648,25.14795837402346,0.6324555320336759
1309,Arunachal Pradesh,Itanagar,2018,November,Saturday,13:10,Fatal,5,Car,0,4,Stormy,National Highway,Under Construction,Dusk,,120,47,Female,,No,Straight Road,27.09792,93.58336,186.21964704891525,19.047448730468773,15.458245849609398,1.0
1310,Delhi,New Delhi,2022,December,Friday,0:0,Minor,3,Bus,2,1,Stormy,Village Road,Under Construction,Daylight,,34,55,Male,Valid,Yes,Bridge,28.593671,77.19783,0.0012890293419332,22.559136962890648,8.921716308593773,0.7745966692414833
1311,Jammu and Kashmir,Anantnag,2022,February,Friday,17:21,Minor,1,Car,2,1,Hazy,State Highway,Under Construction,Dawn,Police Checkpost,53,22,Female,Valid,No,Intersection,33.744113,75.12952,0.2608433402997434,6.202798461914085,-4.45793762207029,0.4472135954999579
1312,Kerala,Kozhikode,2023,October,Tuesday,0:15,Fatal,4,Auto-Rickshaw,0,5,Clear,Urban Road,Dry,Daylight,Police Checkpost,37,33,Male,,No,Bridge,11.271132,75.774743,81.80747479133288,27.501153564453148,24.244790649414085,0.8944271909999159
1313,Himachal Pradesh,Mandi,2021,December,Tuesday,16:22,Serious,5,Cycle,3,3,Foggy,Urban Road,Damaged,Daylight,Signals,42,26,Female,,Yes,Intersection,31.698656,76.930822,19.86207962029596,12.850930786132835,-2.9669708251952898,1.0
1314,Tamil Nadu,Chennai,2022,June,Sunday,16:48,Fatal,4,Cycle,3,5,Hazy,State Highway,Dry,Daylight,Signals,53,28,Male,,Yes,Curve,13.062187,80.295668,-9999.0,-9999.0,-9999.0,0.8944271909999159
1315,Arunachal Pradesh,Itanagar,2020,November,Sunday,3:28,Serious,3,Truck,0,5,Hazy,Urban Road,Damaged,Dusk,Signs,35,58,Female,Valid,Yes,Bridge,27.062187,93.621931,0.1268179412363679,25.75403747558596,15.34290466308596,0.7745966692414833
1316,Maharashtra,Nagpur,2022,December,Sunday,22:36,Serious,5,Two-Wheeler,1,3,Foggy,State Highway,Wet,Dawn,,68,33,Male,Expired,No,Intersection,21.167582,79.079193,0.0056997730553121,29.978234863281276,20.500894165039085,1.0
1317,Goa,Margao,2021,May,Wednesday,21:33,Minor,5,Auto-Rickshaw,10,5,Clear,Urban Road,Wet,Dawn,Police Checkpost,110,54,Male,Expired,No,Straight Road,15.293731,73.967507,169.64631493658544,33.360269165039085,25.21824035644533,1.0
1318,Delhi,New Delhi,2018,February,Wednesday,16:37,Fatal,4,Truck,10,5,Stormy,National Highway,Damaged,Daylight,Signs,113,49,Female,Valid,No,Curve,28.603754,77.217698,0.0185263948537794,23.0334411621094,11.181176757812525,0.8944271909999159
1319,Telangana,Warangal,2020,October,Thursday,23:44,Minor,5,Cycle,3,3,Foggy,National Highway,Dry,Dusk,Signals,43,28,Male,Expired,Yes,Bridge,17.980224,79.597798,32.96121954917908,28.651284790039085,23.380456542968773,1.0
1320,Uttar Pradesh,Varanasi,2022,January,Saturday,19:18,Minor,5,Bus,5,0,Rainy,National Highway,Dry,Dawn,,43,64,Male,,No,Straight Road,25.340176,82.994202,0.0026402439061712,19.530969238281276,9.542169189453148,1.0
1321,Punjab,Jalandhar,2019,July,Wednesday,1:22,Minor,4,Two-Wheeler,0,3,Hazy,State Highway,Dry,Dusk,Signals,102,61,Female,,No,Curve,31.331187,75.561452,182.79700316488243,30.910806274414085,23.456323242187523,0.8944271909999159
1322,Gujarat,Vadodara,2022,April,Tuesday,13:33,Serious,1,Two-Wheeler,9,0,Hazy,State Highway,Under Construction,Daylight,Police Checkpost,89,37,Female,Expired,Yes,Curve,22.329815,73.199238,0.0180093600441466,39.58011779785159,23.077996826171898,0.4472135954999579
